mileage,reg_code,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type,advert_year,vehicle_age,avg_miles_per_year
0,20,WHITE,JEEP,RENEGADE,NEW,2020,24850,SUV,0,PETROL,2020,0,0
27118,65,WHITE,AUDI,Q5,USED,2016,21600,SUV,0,DIESEL,2020,4,6779
51486,66,RED,VAUXHALL,CORSA,USED,2016,6149,HATCHBACK,0,PETROL,2020,4,12871
24000,18,WHITE,VOLKSWAGEN,GOLF,USED,2018,17995,HATCHBACK,0,PETROL,2020,2,12000
27000,18,BLACK,MERCEDES-BENZ,ACLASS,USED,2018,15495,HATCHBACK,0,DIESEL,2020,2,13500
10852,19,RED,HONDA,CIVIC,USED,2019,19900,HATCHBACK,0,PETROL,2020,1,10852
15568,69,WHITE,VAUXHALL,CROSSLANDX,USED,2019,13993,SUV,0,PETROL,2020,1,15568
107300,59,GREY,VAUXHALL,ASTRA,USED,2009,1780,HATCHBACK,0,PETROL,2020,11,9754
13965,18,BLUE,VOLKSWAGEN,GOLF,USED,2018,25795,ESTATE,0,PETROL,2020,2,6982
41440,17,RED,VOLVO,V40,USED,2017,12200,HATCHBACK,0,PETROL,2020,3,13813
58000,13,WHITE,NISSAN,JUKE,USED,2013,6890,SUV,0,PETROL,2020,7,8285
12232,68,GREY,MITSUBISHI,OUTLANDER,USED,2018,26500,SUV,0,PETROLPLUG-INHYBRID,2020,2,6116
20500,19,GREY,TOYOTA,YARIS,USED,2019,12689,HATCHBACK,0,PETROLHYBRID,2020,1,20500
108425,11,BLUE,VAUXHALL,MERIVA,USED,2011,2495,MPV,0,DIESEL,2020,9,12047
32999,17,BLACK,MERCEDES-BENZ,ACLASS,USED,2017,17990,HATCHBACK,0,DIESEL,2020,3,10999
70222,61,WHITE,VAUXHALL,CORSA,USED,2012,3490,HATCHBACK,0,PETROL,2020,8,8777
33558,66,SILVER,SSANGYONG,TIVOLI,USED,2016,8495,SUV,0,PETROL,2020,4,8389
2438,20,GREY,VOLKSWAGEN,GOLF,USED,2020,21000,HATCHBACK,0,DIESEL,2020,0,2438
27736,67,GREY,TOYOTA,YARIS,USED,2017,9495,HATCHBACK,0,PETROL,2020,3,9245
27446,67,BLUE,PEUGEOT,308,USED,2017,11250,HATCHBACK,0,PETROL,2020,3,9148
26000,14,BLUE,JAGUAR,XK,USED,2014,28990,COUPE,0,PETROL,2020,6,4333
55000,66,BLACK,PORSCHE,MACAN,USED,2016,30950,SUV,0,DIESEL,2020,4,13750
68000,56,BLUE,HONDA,CR-V,USED,2006,4990,SUV,0,PETROL,2020,14,4857
103000,62,WHITE,CITROEN,DS3,USED,2012,3380,HATCHBACK,0,DIESEL,2020,8,12875
93511,62,SILVER,VOLKSWAGEN,PASSAT,USED,2012,5650,ESTATE,0,DIESEL,2020,8,11688
30053,67,WHITE,VOLKSWAGEN,GOLF,USED,2017,14000,HATCHBACK,0,PETROL,2020,3,10017
8263,19,WHITE,VOLKSWAGEN,POLO,USED,2019,12380,HATCHBACK,0,PETROL,2020,1,8263
6330,68,BRONZE,PEUGEOT,3008,USED,2019,19295,SUV,0,DIESEL,2020,1,6330
